Pid,Pn,Name,S,Team,Or,Ppg,Projected,Home,Last 10 Days,Archive PPG,C,W,D,G
170546,LW,Dainius Zubrus,"3,000.00",,29.00,1.00,5.25,FALSE,,1,FALSE,TRUE,FALSE,FALSE
568608,D,Brayden McNabb,"3,100.00",,22.00,1.50,5.24,FALSE,,1.5,FALSE,FALSE,TRUE,FALSE
550753,D,Erik Gudbranson,"2,500.00",,24.00,1.50,5.24,TRUE,,1.5,FALSE,FALSE,TRUE,FALSE
325206,RW,Adam Cracknell,"2,500.00",,4.00,0.90,5.23,FALSE,,0.9,FALSE,TRUE,FALSE,FALSE
386160,RW,Ryan Reaves,"2,500.00",,5.00,0.90,5.23,FALSE,,0.9,FALSE,TRUE,FALSE,FALSE
741449,C,Curtis Lazar,"3,400.00",,20.00,1.70,5.23,TRUE,,1.7,TRUE,FALSE,FALSE,FALSE
178005,D,Tim Gleason,"2,500.00",,28.00,1.50,5.23,TRUE,,1.5,FALSE,FALSE,TRUE,FALSE
329379,RW,Patrick Dwyer,"2,500.00",,7.00,0.90,5.23,TRUE,,0.9,FALSE,TRUE,FALSE,FALSE
229387,C,Mike Richards,"3,400.00",,25.00,1.70,5.23,FALSE,,1.7,TRUE,FALSE,FALSE,FALSE
693364,RW,Jayson Megna,"2,500.00",,13.00,0.90,5.23,TRUE,,0.9,FALSE,TRUE,FALSE,FALSE
172168,LW,Daniel Paille,"2,500.00",,17.00,0.90,5.22,FALSE,,0.9,FALSE,TRUE,FALSE,FALSE
504680,RW,Erik Condra,"2,900.00",,18.00,0.90,5.22,TRUE,,0.9,FALSE,TRUE,FALSE,FALSE
173242,LW,Shawn Thornton,"2,600.00",,19.00,0.90,5.22,TRUE,,0.9,FALSE,TRUE,FALSE,FALSE
543573,LW,Brandon Bollig,"2,500.00",,25.00,0.90,5.21,TRUE,,0.9,FALSE,TRUE,FALSE,FALSE
172464,C,Vernon Fiddler,"2,500.00",,6.00,1.60,5.21,FALSE,,1.6,TRUE,FALSE,FALSE,FALSE
504260,D,Jared Cowen,"2,500.00",,14.00,1.40,5.21,TRUE,,1.4,FALSE,FALSE,TRUE,FALSE
296028,C,John Mitchell,"2,800.00",,8.00,1.60,5.21,FALSE,,1.6,TRUE,FALSE,FALSE,FALSE
472380,C,Nick Spaling,"2,800.00",,10.00,1.60,5.21,TRUE,,1.6,TRUE,FALSE,FALSE,FALSE
329642,C,James Sheppard,"2,700.00",,12.00,1.60,5.21,TRUE,,1.6,TRUE,FALSE,FALSE,FALSE
555860,D,Dalton Prout,"2,500.00",,20.00,1.40,5.20,FALSE,,1.4,FALSE,FALSE,TRUE,FALSE
495305,D,Jamie McBain,"2,900.00",,22.00,1.40,5.20,FALSE,,1.4,FALSE,FALSE,TRUE,FALSE
170982,D,Robyn Regehr,"2,500.00",,22.00,1.40,5.20,FALSE,,1.4,FALSE,FALSE,TRUE,FALSE
184273,D,Matt Greene,"2,500.00",,22.00,1.40,5.20,FALSE,,1.4,FALSE,FALSE,TRUE,FALSE
323580,D,Peter Harrold,"2,800.00",,23.00,1.40,5.20,FALSE,,1.4,FALSE,FALSE,TRUE,FALSE
504313,D,Dylan Olsen,"2,700.00",,24.00,1.40,5.20,TRUE,,1.4,FALSE,FALSE,TRUE,FALSE
544879,D,Matt Bartkowski,"2,500.00",,25.00,1.40,5.20,FALSE,,1.4,FALSE,FALSE,TRUE,FALSE
521884,C,Casey Cizikas,"3,000.00",,21.00,1.60,5.20,FALSE,,1.6,TRUE,FALSE,FALSE,FALSE
171342,D,Ron Hainsey,"2,500.00",,28.00,1.40,5.20,TRUE,,1.4,FALSE,FALSE,TRUE,FALSE
172597,D,Jay Harrison,"2,500.00",,28.00,1.40,5.20,TRUE,,1.4,FALSE,FALSE,TRUE,FALSE
326026,D,Jonathan Ericsson,"2,500.00",,30.00,1.40,5.19,TRUE,,1.4,FALSE,FALSE,TRUE,FALSE
600131,LW,Nicklas Jensen,"2,500.00",,10.00,0.80,5.19,FALSE,,0.8,FALSE,TRUE,FALSE,FALSE
172472,D,Anton Volchenkov,"2,500.00",,2.00,1.30,5.19,TRUE,,1.3,FALSE,FALSE,TRUE,FALSE
376393,RW,Marc-Andre Cliche,"2,500.00",,20.00,0.80,5.18,FALSE,,0.8,FALSE,TRUE,FALSE,FALSE
522061,LW,Brandon McMillan,"2,500.00",,21.00,0.80,5.18,TRUE,,0.8,FALSE,TRUE,FALSE,FALSE
600110,D,Jamie Oleksiak,"2,500.00",,7.00,1.30,5.18,FALSE,,1.3,FALSE,FALSE,TRUE,FALSE
544107,D,Matt Irwin,"2,900.00",,8.00,1.30,5.18,TRUE,,1.3,FALSE,FALSE,TRUE,FALSE
589971,D,Brenden Dillon,"2,700.00",,8.00,1.30,5.18,TRUE,,1.3,FALSE,FALSE,TRUE,FALSE
170840,D,Stephane Robidas,"2,500.00",,9.00,1.30,5.18,TRUE,,1.3,FALSE,FALSE,TRUE,FALSE
269238,D,Andrej Meszaros,"3,000.00",,10.00,1.30,5.18,FALSE,,1.3,FALSE,FALSE,TRUE,FALSE
448201,D,Chris Butler,"2,700.00",,13.00,1.30,5.18,FALSE,,1.3,FALSE,FALSE,TRUE,FALSE
567889,C,Michael Sgarbossa,"2,500.00",,8.00,1.50,5.17,FALSE,,1.5,TRUE,FALSE,FALSE,FALSE
235763,D,Deryk Engelland,"2,500.00",,18.00,1.30,5.17,TRUE,,1.3,FALSE,FALSE,TRUE,FALSE
729825,D,Nate Schmidt,"2,700.00",,21.00,1.30,5.17,FALSE,,1.3,FALSE,FALSE,TRUE,FALSE
600082,C,Mika Zibanejad,"3,100.00",,20.00,1.50,5.16,TRUE,,1.5,TRUE,FALSE,FALSE,FALSE
504763,D,Brian Strait,"2,500.00",,27.00,1.30,5.16,FALSE,,1.3,FALSE,FALSE,TRUE,FALSE
296124,D,Kyle Quincey,"2,700.00",,30.00,1.30,5.16,TRUE,,1.3,FALSE,FALSE,TRUE,FALSE
171296,RW,Craig Adams,"2,500.00",,13.00,0.70,5.15,TRUE,,0.7,FALSE,TRUE,FALSE,FALSE
600129,C,Vladislav Namestnikov,"2,500.00",,28.00,1.50,5.15,TRUE,,1.5,TRUE,FALSE,FALSE,FALSE
555106,LW,Craig Cunningham,"2,500.00",,17.00,0.70,5.15,FALSE,,0.7,FALSE,TRUE,FALSE,FALSE
235539,C,Max Talbot,"3,000.00",,8.00,1.40,5.14,FALSE,,1.4,TRUE,FALSE,FALSE,FALSE
268151,D,Ladislav Smid,"2,500.00",,18.00,1.20,5.13,TRUE,,1.2,FALSE,FALSE,TRUE,FALSE
172369,D,Jordan Leopold,"2,800.00",,20.00,1.20,5.13,FALSE,,1.2,FALSE,FALSE,TRUE,FALSE
741412,C,Bo Horvat,"2,800.00",,15.00,1.40,5.13,FALSE,,1.4,TRUE,FALSE,FALSE,FALSE
